City,Clouds,Country,Humidity,Lat,Long,Temp,Wind Speed
Dunedin,0,NZ,40,-45.87,170.5,62.3,4.02
Caravelas,6,BR,71,-17.73,-39.27,69.6,5.11
Albany,0,AU,48,-35.02,117.88,62.9,5.1
Leiyang,1,CN,55,26.42,112.85,92.8,1.97
Hasaki,75,JP,94,35.73,140.83,81.7,7.2
Kapaa,40,US,62,22.08,-159.32,85.1,5.7
Kantang,40,TH,88,7.42,99.52,79.1,1.0
Yellowknife,75,CA,67,62.45,-114.38,59.3,0.83
Pacific Grove,20,US,77,36.62,-121.92,64.5,1.5
Rikitea,70,PF,71,-23.12,-134.97,70.5,5.14
Hermanus,52,ZA,78,-34.42,19.24,49.3,0.45
Punta Arenas,0,CL,69,-53.16,-70.91,36.5,11.8
Quibor,100,VE,71,9.93,-69.62,72.9,2.25
Punta Arenas,0,CL,69,-53.16,-70.91,36.5,11.8
Gizo,91,SB,79,-8.1,156.84,82.0,4.04
Hermanus,52,ZA,78,-34.42,19.24,49.3,0.45
Jamestown,100,SH,82,-15.94,-5.72,65.7,9.37
Bredasdorp,60,ZA,76,-34.53,20.04,48.5,3.6
Hermanus,52,ZA,78,-34.42,19.24,49.3,0.45
Vaini,40,TO,78,-21.2,-175.2,79.1,4.6
Faanui,67,PF,76,-16.48,-151.75,79.0,4.24
Lensk,28,RU,61,60.71,114.91,60.4,3.79
Hermanus,52,ZA,78,-34.42,19.24,49.3,0.45
Arraial do Cabo,100,BR,76,-22.97,-42.02,67.6,7.84
Tasiilaq,95,GL,70,65.61,-37.64,46.7,4.1
Butaritari,48,KI,62,3.07,172.79,85.5,1.61
Srednekolymsk,100,RU,72,67.46,153.71,46.4,4.35
Rikitea,70,PF,71,-23.12,-134.97,70.5,5.14
Qaanaaq,100,GL,94,77.48,-69.36,30.7,2.91
Kodiak,40,US,68,39.95,-94.76,65.9,2.1
Hermanus,52,ZA,78,-34.42,19.24,49.3,0.45
Mahebourg,75,MU,60,-20.41,57.7,72.1,6.7
Vestmannaeyjar,100,IS,84,63.44,-20.27,50.2,3.43
Punta Arenas,0,CL,69,-53.16,-70.91,36.5,11.8
Busselton,98,AU,52,-33.64,115.35,66.3,1.34
San Jose,55,PH,80,15.79,120.99,84.6,7.41
Adrar,40,DZ,21,27.87,-0.29,93.5,3.1
Ancud,90,CL,87,-41.87,-73.83,44.9,1.0
Upernavik,22,GL,58,72.79,-56.15,38.8,1.77
Kapaa,40,US,62,22.08,-159.32,85.1,5.7
Vaini,40,TO,78,-21.2,-175.2,79.1,4.6
Curvelo,76,BR,78,-18.76,-44.43,59.4,2.39
Port Alfred,0,ZA,75,-33.59,26.89,53.3,1.79
Panubigan,90,PH,83,7.13,122.25,82.7,1.5
Moberly,1,US,73,39.42,-92.44,67.5,2.1
Ushuaia,75,AR,64,-54.81,-68.31,39.5,9.3
Alta Floresta,64,BR,43,-9.87,-56.08,78.8,0.8
Bairnsdale,100,AU,41,-37.83,147.63,63.6,0.45
Jamestown,100,SH,82,-15.94,-5.72,65.7,9.37
San Patricio,90,MX,83,19.22,-104.7,84.5,4.1
Georgetown,100,SH,73,-7.93,-14.42,72.5,7.46
Hobart,75,AU,57,-42.88,147.33,48.9,8.2
Provideniya,90,RU,81,64.42,-173.23,52.1,7.0
Barrow,1,US,88,39.51,-90.4,68.2,2.1
Ancud,90,CL,87,-41.87,-73.83,44.9,1.0
Hualmay,37,PE,84,-11.1,-77.61,59.0,0.41
Deputatskiy,100,RU,71,69.3,139.9,41.7,4.63
Georgetown,100,SH,73,-7.93,-14.42,72.5,7.46
Hermanus,52,ZA,78,-34.42,19.24,49.3,0.45
Bemidji,90,US,76,47.48,-94.89,52.4,7.2
Kodiak,40,US,68,39.95,-94.76,65.9,2.1
Talnakh,0,RU,81,69.49,88.39,52.1,7.0
Ahipara,75,NZ,77,-35.17,173.16,62.3,2.52
Busselton,98,AU,52,-33.64,115.35,66.3,1.34
Kirakira,100,SB,76,-10.46,161.92,81.0,5.61
Bluff,86,NZ,53,-46.6,168.33,60.3,4.47
Hobart,75,AU,57,-42.88,147.33,48.9,8.2
Dikson,100,RU,95,73.51,80.55,41.2,4.73
Carnarvon,0,AU,88,-24.87,113.63,73.7,5.7
Kolosovka,0,RU,72,56.47,73.61,49.6,4.63
Sohag,0,EG,32,26.55,31.7,82.7,2.1
Pangkalanbuun,88,ID,77,-2.68,111.62,79.7,2.76
Plock,0,PL,82,52.55,19.71,65.2,4.1
Huarmey,5,PE,88,-10.07,-78.15,59.0,2.12
Bandiagara,53,ML,76,14.35,-3.61,79.9,2.13
Lebu,100,CL,93,-37.62,-73.65,54.7,7.79
Bluff,86,NZ,53,-46.6,168.33,60.3,4.47
Dikson,100,RU,95,73.51,80.55,41.2,4.73
Teguise,40,ES,88,29.06,-13.56,71.9,4.6
San Andres,75,CO,88,8.22,-76.58,82.7,5.1
Vaini,40,TO,78,-21.2,-175.2,79.1,4.6
Mackay,0,AU,64,-21.15,149.2,76.7,7.2
Clyde River,1,CA,93,70.47,-68.59,39.5,1.5
Imbituba,40,BR,93,-28.24,-48.67,64.7,2.6
Butaritari,48,KI,62,3.07,172.79,85.5,1.61
Kapaa,40,US,62,22.08,-159.32,85.1,5.7
Zabol,0,IR,21,31.03,61.49,79.1,7.2
Rumonge,2,BI,59,-3.97,29.44,66.2,2.24
Saint George,40,BM,78,32.38,-64.68,81.4,2.6
Albany,0,AU,48,-35.02,117.88,62.9,5.1
Rikitea,70,PF,71,-23.12,-134.97,70.5,5.14
Ushuaia,75,AR,64,-54.81,-68.31,39.5,9.3
Cabo San Lucas,5,MX,66,22.89,-109.91,82.9,2.1
Komsomolskiy,8,RU,73,67.55,63.78,41.0,7.84
Erzin,0,RU,25,50.26,95.16,71.6,2.2
Lompoc,90,US,100,34.64,-120.46,65.2,1.5
Kodiak,40,US,68,39.95,-94.76,65.9,2.1
Baruun-Urt,93,MN,72,46.68,113.28,57.9,7.72
Tabou,100,CI,90,4.42,-7.36,74.1,1.91
Teahupoo,75,PF,62,-17.83,-149.27,84.5,1.5
Anahuac,67,MX,82,26.44,-109.02,86.3,0.45
Hofn,100,IS,99,64.25,-15.21,39.0,5.72
Mar del Plata,23,AR,65,-46.43,-67.52,40.1,12.99
Virginia Beach,90,US,94,36.85,-75.98,73.0,4.95
